Lingwood - LingwoodSD,2609
Lingwood - StrumpshawSD,247
Linton,4528
Litcham,441
Litlington,860
Little Bealings,459
Little Berkhamsted,488
Little Clacton - Little ClactonSD,2906
Little Clacton - WeeleySD,1281
Little Clacton - Weeley HeathSD,807
Little Downham,1489
Little Dunmow,2779
Little Eversden,553
Little Gaddesden,649
Little Hadham,420
Little Hallingbury,1401
Little Melton,926
Little Paxton,3866
Little Plumstead (South),1169
Little Plumstead,717
Little Staughton,441
Little Thetford,782
Little Totham,735
Little Waldingfield,394
Little Walsingham,614
Little Wymondley,1006
Littlebury,592
Littleport,9250
Loddon,3915
Lode,662
Long Marston (Dacorum),802
Long Melford,3063
Long Stratton,4427
Longstanton,3928
Lower Stondon,4528
Lowestoft,73976
Ludham,1000
Luton - DunstableSD,34770
Luton - Houghton RegisSD,18868
Luton - LutonSD,222043
Lyng,864
Maldon,22055
Manea,2436
Manningtree,6080
Manuden,711
Maple Cross,2529
March,21564
Margaretting,572
Marham Airfield,2169
Marham,776
Market Weston,229
Markyate,3190
Marsham,587
Marshland St James,872
Marston Moretaine,5256
Martham,3382
Matching Green,358
Mattishall,2446
Maulden,2542
Maxey,713
Mayland,4067
Melbourn,4862
Meldreth,1978
Mellis,547
Melton (Suffolk Coastal),764
Mendlesham,1012
Mepal,953
Meppershall,1847
Metfield,408
Methwold,924
Middleton (King's Lynn and West Norfolk),1142
Middleton (Suffolk Coastal),392
Mildenhall - Barton MillsSD,638
Mildenhall - Holywell RowSD,597
Mildenhall - MildenhallSD,15422
Mileham,647
Milton Ernest,722
Mistley,1695
Moggerhanger,651
Monks Eleigh,508
Morley St Botolph,240
Morton (Broadland),269
Moulton (Forest Heath),1260
Mulbarton,3778
Mundesley,2709
Mundford - IckburghSD,365
Mundford - MundfordSD,1673
Murrow,867
Nacton,429
Narborough,1290
Nayland,968
Necton,2000
Needham,318
Needham Market,4858
Needingworth,2106
Newborough (City of Peterborough),1257
Newbourne,319
Newgate Street,392
Newmarket,20221
Newport (Uttlesford),2802
Newton (Babergh),526
Newton (Fenland),365
Newton (South Cambridgeshire),382
Newton Flotman,1445
Newton St Faith,493
North Creake,359
North Elmham,1246
North Fambridge,862
North Lopham,687
North Mymms,331
North Pickenham,518
North Runcton,290
North Walsham,12736
North Weald Bassett,4510
Northaw,621
Northborough,1191
Northill/Ickwell - IckwellSD,292
Northill/Ickwell - NorthillSD,330
Northwold,690
Norton (Mid Suffolk),668
Norwich - ColneySD,198
Norwich - CostesseySD,2650
Norwich - CringlefordSD,4893
Norwich - Horsham St FaithSD,1084
